"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","C1","43056","59289","Learning & Development Manager","0.81","Human Resources","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts59"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","C1","43056","59289","Senior HR Business Partner","1","Human Resources","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts60"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","C2","33830","46584","Resource Partner","1","Human Resources","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts61"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","C2","33830","46584","Communications Manager - Internal","1","Communications","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts62"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","D","26142","35997","HR Business Partner","2","Human Resources","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts63"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","E","19991","26507","Assistant HR Business Partner","1","Human Resources","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts64"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1017","F","15377","20390","Administrator","2","Human Resources","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts65"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","PA & Business Continuity Manager","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts66"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C1","43056","59289","Senior Facilities & Operations Manager","1","Property and asset management","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts67"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","Facilities & Operations Manager","2","Property and asset management","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts68"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","E","19991","26507","Facilities & Operations Officer","1","Property and asset management","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts69"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C1","43056","59289","Data Manager","1","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts70"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C1","43056","59289","Senior IT Manager","1","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts71"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C1","43056","59289","Senior System Development Manager","1","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts72"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C2","33830","46584","IT Manager","2","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts73"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C2","33830","46584","Systems Development Manager","1","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts74"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","Admissions Manager","1","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts75"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","Data Analyst","2","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts76"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","E-Learning Developer","4","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts77"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","IT Project Manager","1","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts78"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","Senior IT Support Officer","2","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts79"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","E","19991","26507","IT Support Officer","3","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts80"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","E","19991","26507","Registrations Coordinator","0.41","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts81"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","E","19991","26507","Senior Admissions Co-ordinator","2","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts82"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","F","15377","20390","Admissions Coordinator","2","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts83"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","F","15377","20390","Help Desk Analyst","2","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts84"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","F","15377","20390","Administrator","1.41","Information Technology","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts85"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","B","53308","73405","Head of PPMU","1","Programme and Project Management (PPM)","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts86"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C1","43056","59289","Senior PPMU Programme / Project Manager","4","Programme and Project Management (PPM)","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts87"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","C2","33830","46584","Senior Project / Progamme Manager","1","Programme and Project Management (PPM)","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts88"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","D","26142","35997","Project / Programme Manager","3.2","Programme and Project Management (PPM)","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts89"
"Department for Education","National College for Leadership of Schools and Children's Services","Corporate Services","NCSL-1009","E","19991","26507","Senior Project / Programme Co-ordinator","2","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts90"
"Department for Education","National College for Leadership of Schools and Children's Services","Directorate for Children Services","NCSL-1022","C1","43056","59289","Senior Project / Progamme Manager","0.91","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts91"
