"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Country Programmes","A45","B2 (EO)","23615","28210","Diary Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","B2 (EO)","23615","28210","operational manager","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","B2 (EO)","23615","28210","Programme Manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A45","C1 (AO)","19500","23276","operational manager","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B43","A1 (G6)","61381","70290","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A1 (G6)","61381","70290","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A1 (G6)","61381","70290","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2 (G7)","49410","58160","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2 (G7)","49410","58160","Policy Adviser","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2L (SEO)","41218","45380","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2L (SEO)","41218","45380","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2L (SEO)","41218","45380","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","B1 (HEO)","31320","35680","Programme Manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A1 (G6)","61381","70290","Policy Adviser","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A1 (G6)","61381","70290","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2 (G7)","49410","58160","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2 (G7)","49410","58160","Policy Adviser","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2 (G7)","49410","58160","Procurement Officer","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2 (G7)","49410","58160","Statistician","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2L (SEO)","41218","45380","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2L (SEO)","41218","45380","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","B1 (HEO)","31320","35680","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","B1D (Faststream)","26800","37195","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","B1D (Faststream)","26800","37195","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A1 (G6)","61381","70290","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A1 (G6)","61381","70290","Policy Adviser","16","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A1 (G6)","61381","70290","Programme Manager","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2 (G7)","49410","58160","Policy Adviser","10","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2 (G7)","49410","58160","Programme Manager","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2L (SEO)","41218","45380","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2L (SEO)","41218","45380","Policy Adviser","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B1 (HEO)","31320","35680","Programme Manager","10","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B2 (EO)","23615","28210","Diary Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B2 (EO)","23615","28210","Programme Manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","C1 (AO)","19500","23276","Diary Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","C1 (AO)","19500","23276","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B1D (Faststream)","26800","37195","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B56","A1 (G6)","61381","70290","Policy Adviser","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B56","A1 (G6)","61381","70290","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B56","A2 (G7)","49410","58160","Policy Adviser","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B56","B1D (Faststream)","26800","37195","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A1 (G6)","61381","70290","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A1 (G6)","61381","70290","Programme Manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A2 (G7)","49410","58160","operational manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A2 (G7)","49410","58160","Policy Adviser","9","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A2 (G7)","49410","58160","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","B1 (HEO)","31320","35680","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","B1D (Faststream)","26800","37195","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A1 (G6)","61381","70290","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A1 (G6)","61381","70290","Programme Manager","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2 (G7)","49410","58160","Policy Adviser","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2 (G7)","49410","58160","Procurement Officer","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2 (G7)","49410","58160","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2L (SEO)","41218","45380","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2L (SEO)","41218","45380","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2L (SEO)","41218","45380","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","B1 (HEO)","31320","35680","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","B1D (Faststream)","26800","37195","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A1 (G6)","61381","70290","Policy Adviser","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A1 (G6)","61381","70290","Programme Manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A1 (G6)","61381","70290","Statistician","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2 (G7)","49410","58160","operational manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2 (G7)","49410","58160","Policy Adviser","14","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2 (G7)","49410","58160","Procurement Officer","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2 (G7)","49410","58160","Programme Manager","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2L (SEO)","41218","45380","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2L (SEO)","41218","45380","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2L (SEO)","41218","45380","Programme Manager","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B1 (HEO)","31320","35680","Communications Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B1 (HEO)","31320","35680","Programme Manager","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B2 (EO)","23615","28210","Diary Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B2 (EO)","23615","28210","IT Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B1D (Faststream)","26800","37195","Programme Manager","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","A1 (G6)","61381","70290","Policy Adviser","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","A2 (G7)","49410","58160","Policy Adviser","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","A2 (G7)","49410","58160","Programme Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","B2 (EO)","23615","28210","Finance Officer","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","B1D (Faststream)","26800","37195","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A1 (G6)","61381","70290","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A1 (G6)","61381","70290","Policy Adviser","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A1 (G6)","61381","70290","Programme Manager","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2 (G7)","49410","58160","Communications Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2 (G7)","49410","58160","Finance Officer","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2 (G7)","49410","58160","operational manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2 (G7)","49410","58160","Policy Adviser","10","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2 (G7)","49410","58160","Programme Manager","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2 (G7)","49410","58160","Statistician","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2L (SEO)","41218","45380","Procurement Officer","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B1 (HEO)","31320","35680","operational manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B1 (HEO)","31320","35680","Policy Adviser","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B1 (HEO)","31320","35680","Programme Manager","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B2 (EO)","23615","28210","Diary Manager","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B1D (Faststream)","26800","37195","Programme Manager","2","Policy"
