"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","6","22507","25884","HE Policy Adviser","7","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts41"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","7","26062","29971","HE Policy Adviser","5.81","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts42"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","8","31984","36781","HE Policy Adviser","3.41","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts43"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","10","50936","58577","Head of Corporate Service Team","4.81","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts44"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","11","61598","70838","Head of Corporate Service Team","7.92","Operational Delivery","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts45"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","12","77959","85792","Head of Group","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts46"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","12","77959","85792","Head of Group","3","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts47"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","10","50936","58577","Head of Policy","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts48"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Education and Participation","90284","11","61598","70838","Head of Policy","3","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts49"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","11","61598","70838","Head of Policy","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts50"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","10","50936","58577","Head of Policy","1","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts51"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Research, Innovation and Skills","90250","11","61598","70838","Head of Policy","2","Policy","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts52"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","8","31984","36781","HR Manager","0.61","Human Resources","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts53"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","HR Manager","1.76","Human Resources","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts54"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","Internal Auditor","2.41","Internal Audit","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts55"
"Department for Business Innovation and Skills","Higher Education Funding Council for England","Finance and Corporate Resources","90115","9","41461","47681","IT Manager","3.81","Information Technology","/data/hefce/2011-03-31/HEFCE_organogram.xls","juniorPosts56"
