"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 4","34224","41600","Business Manager","0.5","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Project Manager","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Project Manager","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Project Manager","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Project Manager","4","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Programme Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Programme Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Programme Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Group Directorate","3","Level 5","43680","53093","Programme Manager","1","Operational delivery"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Director","55000","90000","Director","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Director","55000","90000","Director","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Director","55000","90000","Director","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Director","55000","90000","Director","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Finance Officer","4.4","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Finance Officer","4.4","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Finance Officer","4.4","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Finance Officer","4.4","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Procurement Support Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Procurement Support Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Procurement Support Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 2","20056","24378","Procurement Support Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Accountant","0.8","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Accountant","0.8","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Accountant","0.8","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Accountant","0.8","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Assistant Accountant","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Assistant Accountant","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Assistant Accountant","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Assistant Accountant","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Finance Officer","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Finance Officer","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Finance Officer","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Finance Officer","2","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Project Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Project Officer","1","Finance"
"Home Office","Equality and Human Rights Commission","Corporate Management, Finance","3","Level 3","26815","32595","Project Officer","1","Finance"
