"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for International Development","Department for International Development","Corporate Performance","B123","A2 (G7)","49410","58160","Administrator","13","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B123","A2(L) (SEO)","41218","45380","Administrator","4.4","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B123","B1 (HEO)","31320","35680","Administrator","4.8","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B123","B1D (Faststream)","26800","37195","Administrator","4","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B123","B2 (EO)","23930","28210","Administrator","4.8","Finance"
"Department for International Development","Department for International Development","Corporate Performance","B134","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B134","A2 (G7)","49410","58160","Administrator","8","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B134","A2(L) (SEO)","41218","45380","Administrator","18.9","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B134","B1 (HEO)","31320","35680","Administrator","9.6","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B134","B2 (EO)","23930","28210","Administrator","5","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B134","C1 (AO)","19500","23275","Administrator","3.4","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B139","A2 (G7)","49410","58160","Administrator","3","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B139","A2(L) (SEO)","41218","45380","Administrator","5","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B139","B1 (HEO)","31320","35680","Administrator","3","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B139","B1D (Faststream)","26800","37195","Administrator","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B139","B2 (EO)","23930","28210","Administrator","1","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A1 (G6)","61381","70290","Administrator","6","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2 (G7)","49410","58160","Administrator","8.8","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","A2(L) (SEO)","41218","45380","Administrator","8","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B1 (HEO)","31320","35680","Administrator","8.8","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B38","B2 (EO)","23930","28210","Administrator","2","Communications"
"Department for International Development","Department for International Development","Corporate Performance","B41","A1 (G6)","61381","70290","Administrator","5","information technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2 (G7)","49410","58160","Administrator","14.4","information technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","A2(L) (SEO)","41218","45380","Administrator","22.4","information technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1 (HEO)","31320","35680","Administrator","24.4","information technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B1D (Faststream)","26800","37195","Administrator","4","information technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","B2 (EO)","23930","28210","Administrator","27.2","information technology"
"Department for International Development","Department for International Development","Corporate Performance","B41","C1 (AO)","19500","23275","Administrator","2","information technology"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","49410","58160","Administrator","1.5","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2(L) (SEO)","41218","45380","Administrator","4.9","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B47","B1 (HEO)","31320","35680","Administrator","7","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","23930","28210","Administrator","10.9","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B47","C1 (AO)","19500","23275","Administrator","7.5","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B47","A1 (G6)","61381","70290","Administrator","3","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2 (G7)","49410","58160","Administrator","8","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","A2(L) (SEO)","41218","45380","Administrator","7","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B1 (HEO)","31320","35680","Administrator","12","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","B2 (EO)","23930","28210","Administrator","19.8","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","C1 (AO)","19500","23275","Administrator","4.6","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B47","C2 (AA)","16080","20090","Administrator","7","Policy"
"Department for International Development","Department for International Development","Corporate Performance","B60","A1 (G6)","61381","70290","Administrator","3","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","A2 (G7)","49410","58160","Administrator","7.9","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","A2(L) (SEO)","41218","45380","Administrator","6.8","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","B1 (HEO)","31320","35680","Administrator","4.9","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","B2 (EO)","23930","28210","Administrator","2","Human Resources"
"Department for International Development","Department for International Development","Corporate Performance","B60","C1 (AO)","19500","23275","Administrator","1","Human Resources"
"Department for International Development","Department for International Development","Country Programmes","A10","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A10","A2 (G7)","49410","58160","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A10","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A10","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A13","A1 (G6)","61381","70290","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","A13","A2 (G7)","49410","58160","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","A13","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A23","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A25","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A25","A2 (G7)","49410","58160","Administrator","4.7","Policy"
"Department for International Development","Department for International Development","Country Programmes","A25","B1 (HEO)","31320","35680","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","A25","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","A25","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","A1 (G6)","61381","70290","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","A2 (G7)","49410","58160","Administrator","10.6","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","B1 (HEO)","31320","35680","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","A26","C1 (AO)","19500","23275","Administrator","1.9","Policy"
"Department for International Development","Department for International Development","Country Programmes","A28","A1 (G6)","61381","70290","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B106","A1 (G6)","61381","70290","Administrator","5.5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B106","A2 (G7)","49410","58160","Administrator","15.7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B106","A2(L) (SEO)","41218","45380","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B106","B1 (HEO)","31320","35680","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B106","B2 (EO)","23930","28210","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B106","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B108","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B108","A2 (G7)","49410","58160","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B112","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B112","A2 (G7)","49410","58160","Administrator","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B112","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B112","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B113","A1 (G6)","61381","70290","Administrator","9","Policy"
"Department for International Development","Department for International Development","Country Programmes","B113","A2 (G7)","49410","58160","Administrator","17","Policy"
"Department for International Development","Department for International Development","Country Programmes","B113","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B113","B1 (HEO)","31320","35680","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B113","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B115","A1 (G6)","61381","70290","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B115","A2 (G7)","49410","58160","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B115","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B118","A1 (G6)","61381","70290","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B118","A2 (G7)","49410","58160","Administrator","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B118","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B121","A1 (G6)","61381","70290","Administrator","10","Policy"
"Department for International Development","Department for International Development","Country Programmes","B121","A2 (G7)","49410","58160","Administrator","20","Policy"
"Department for International Development","Department for International Development","Country Programmes","B121","B1 (HEO)","31320","35680","Administrator","5.4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B121","B1D (Faststream)","26800","37195","Administrator","9","Policy"
"Department for International Development","Department for International Development","Country Programmes","B121","B2 (EO)","23930","28210","Administrator","7.2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B124","A1 (G6)","61381","70290","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B124","A2 (G7)","49410","58160","Administrator","9","Policy"
"Department for International Development","Department for International Development","Country Programmes","B124","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B124","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B127","A1 (G6)","61381","70290","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B127","A2 (G7)","49410","58160","Administrator","12","Policy"
"Department for International Development","Department for International Development","Country Programmes","B127","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B129","A1 (G6)","61381","70290","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B129","A2 (G7)","49410","58160","Administrator","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B129","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B129","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B130","A1 (G6)","61381","70290","Administrator","16","Policy"
"Department for International Development","Department for International Development","Country Programmes","B130","A2 (G7)","49410","58160","Administrator","10","Policy"
"Department for International Development","Department for International Development","Country Programmes","B130","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B130","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B130","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B130","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B131","A1 (G6)","61381","70290","Administrator","10","Policy"
"Department for International Development","Department for International Development","Country Programmes","B131","A2 (G7)","49410","58160","Administrator","9","Policy"
"Department for International Development","Department for International Development","Country Programmes","B137","A2 (G7)","49410","58160","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B142","A1 (G6)","61381","70290","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B142","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B142","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B142","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B49","B1 (HEO)","31320","35680","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2 (G7)","49410","58160","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","A2(L) (SEO)","41218","45380","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B52","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A1 (G6)","61381","70290","Administrator","27","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2 (G7)","49410","58160","Administrator","21.6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","A2(L) (SEO)","41218","45380","Administrator","5.8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B1 (HEO)","31320","35680","Administrator","9","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","B2 (EO)","23930","28210","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B54","C1 (AO)","19500","23275","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B55","A1 (G6)","61381","70290","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B55","A2 (G7)","49410","58160","Administrator","11","Policy"
"Department for International Development","Department for International Development","Country Programmes","B55","A2(L) (SEO)","41218","45380","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B55","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B56","A1 (G6)","61381","70290","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B56","A2 (G7)","49410","58160","Administrator","13","Policy"
"Department for International Development","Department for International Development","Country Programmes","B56","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A1 (G6)","61381","70290","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A2 (G7)","49410","58160","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B57","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B61","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B62","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B62","A2 (G7)","49410","58160","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B62","A2(L) (SEO)","41218","45380","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B62","B1 (HEO)","31320","35680","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B62","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B62","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B62","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A1 (G6)","61381","70290","Administrator","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2 (G7)","49410","58160","Administrator","20","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","A2(L) (SEO)","41218","45380","Administrator","8","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B1 (HEO)","31320","35680","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B68","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","A2 (G7)","49410","58160","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B70","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A1 (G6)","61381","70290","Administrator","15","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2 (G7)","49410","58160","Administrator","19","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B1 (HEO)","31320","35680","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B72","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B77","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B77","A2 (G7)","49410","58160","Administrator","11","Policy"
"Department for International Development","Department for International Development","Country Programmes","B77","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B77","B1 (HEO)","31320","35680","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B77","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B78","A1 (G6)","61381","70290","Administrator","4","Policy"
"Department for International Development","Department for International Development","Country Programmes","B78","A2 (G7)","49410","58160","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B78","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B78","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B80","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B80","A2 (G7)","49410","58160","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B80","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B80","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B86","A1 (G6)","61381","70290","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B86","A2 (G7)","49410","58160","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B86","B1 (HEO)","31320","35680","Administrator","1","Policy"
"Department for International Development","Department for International Development","Country Programmes","B89","A1 (G6)","61381","70290","Administrator","18.3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B89","A2 (G7)","49410","58160","Administrator","36.2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B89","A2(L) (SEO)","41218","45380","Administrator","7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B89","B1 (HEO)","31320","35680","Administrator","16.3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B89","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Country Programmes","B89","B2 (EO)","23930","28210","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B89","C1 (AO)","19500","23275","Administrator","4.7","Policy"
"Department for International Development","Department for International Development","Country Programmes","B93","A1 (G6)","61381","70290","Administrator","5","Policy"
"Department for International Development","Department for International Development","Country Programmes","B93","A2 (G7)","49410","58160","Administrator","11","Policy"
"Department for International Development","Department for International Development","Country Programmes","B93","B1 (HEO)","31320","35680","Administrator","6","Policy"
"Department for International Development","Department for International Development","Country Programmes","B93","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Country Programmes","B93","B2 (EO)","23930","28210","Administrator","3","Policy"
"Department for International Development","Department for International Development","ICAI","B62","B2 (EO)","23930","28210","Administrator","0.7","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","A1 (G6)","61381","70290","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","A2 (G7)","49410","58160","Administrator","3.8","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","B2 (EO)","23930","28210","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A19","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A20","A1 (G6)","61381","70290","Administrator","11.2","Policy"
"Department for International Development","Department for International Development","Policy & International","A20","A2 (G7)","49410","58160","Administrator","15.8","Policy"
"Department for International Development","Department for International Development","Policy & International","A20","A2(L) (SEO)","41218","45380","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A20","B1 (HEO)","31320","35680","Administrator","8","Policy"
"Department for International Development","Department for International Development","Policy & International","A20","B1D (Faststream)","26800","37195","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A20","B2 (EO)","23930","28210","Administrator","4","Policy"
"Department for International Development","Department for International Development","Policy & International","A20","C1 (AO)","19500","23275","Administrator","4.3","Policy"
"Department for International Development","Department for International Development","Policy & International","A23","A1 (G6)","61381","70290","Administrator","14.8","Policy"
"Department for International Development","Department for International Development","Policy & International","A23","A2 (G7)","49410","58160","Administrator","14.5","Policy"
"Department for International Development","Department for International Development","Policy & International","A23","A2(L) (SEO)","41218","45380","Administrator","2.5","Policy"
"Department for International Development","Department for International Development","Policy & International","A23","B1 (HEO)","31320","35680","Administrator","7","Policy"
"Department for International Development","Department for International Development","Policy & International","A23","B1D (Faststream)","26800","37195","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","A23","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A23","C1 (AO)","19500","23275","Administrator","5","Policy"
"Department for International Development","Department for International Development","Policy & International","A24","A1 (G6)","61381","70290","Administrator","3.6","Policy"
"Department for International Development","Department for International Development","Policy & International","A24","A2 (G7)","49410","58160","Administrator","4.2","Policy"
"Department for International Development","Department for International Development","Policy & International","A24","B1 (HEO)","31320","35680","Administrator","0.9","Policy"
"Department for International Development","Department for International Development","Policy & International","A24","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A24","B2 (EO)","23930","28210","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A29","A1 (G6)","61381","70290","Administrator","2.8","Policy"
"Department for International Development","Department for International Development","Policy & International","A29","A2 (G7)","49410","58160","Administrator","6.9","Policy"
"Department for International Development","Department for International Development","Policy & International","A29","A2(L) (SEO)","41218","45380","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A29","B1 (HEO)","31320","35680","Administrator","2","Policy"
"Department for International Development","Department for International Development","Policy & International","A29","B1D (Faststream)","26800","37195","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","A29","C1 (AO)","19500","23275","Administrator","0.6","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","A1 (G6)","61381","70290","Administrator","8.7","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","A2 (G7)","49410","58160","Administrator","21.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","A2(L) (SEO)","41218","45380","Administrator","3.2","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","B1 (HEO)","31320","35680","Administrator","3","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","B2 (EO)","23930","28210","Administrator","3.8","Policy"
"Department for International Development","Department for International Development","Policy & International","B100","C1 (AO)","19500","23275","Administrator","1","Policy"
"Department for International Development","Department for International Development","Policy & International","B110","A1 (G6)","61381","70290","Administrator","7","Policy"
