,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
76,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Principal Adviser/Principal Specialist/Manager,39850,56100,Manager,6.0,Operational Delivery
77,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,1.0,Operational Delivery
78,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Team Leader,32.14,Operational Delivery
79,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Senior Adviser/Senior Specialist/Team Leader,30275,40550,Senior Adviser,28.09,Operational Delivery
80,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Lead Adviser/Specialist/Group Coordinator,24120,32744,Group Coordinator,1.0,Operational Delivery
81,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,269.66,Operational Delivery
82,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Lead Adviser/Specialist/Group Coordinator,24120,32744,Lead Adviser,2.0,Operational Delivery
83,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Lead Adviser/Specialist/Group Coordinator,24120,32744,Specialist,1.0,Operational Delivery
84,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Adviser,20500,26620,Adviser,106.9,Operational Delivery
85,"Department for Environment, Food and Rural Affairs",Natural England,Land Management,20,Support Adviser,16500,20390,Support Adviser,9.69,Operational Delivery
86,"Department for Environment, Food and Rural Affairs",Natural England,Local Partnerships and Integration,10,Principal Adviser/Principal Specialist/Manager,39850,56100,Principal Adviser,15.73,Operational Delivery
87,"Department for Environment, Food and Rural Affairs",Natural England,Local Partnerships and Integration,10,Adviser,20500,26620,Adviser,1.0,Operational Delivery
