body_title,graph,senior_csv_filepath,junior_csv_filepath,xls_filepath,senior_posts_count,junior_posts_count
NHS Blood and Transplant,2011-03-31,data/dgu/csv-from-triplestore/nhs_blood_and_transplant-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/nhs_blood_and_transplant-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/nhs_blood_and_transplant-2011-03-31-organogram.xls,54,94
NHS Information Centre for Health and Social Care,2011-03-31,data/dgu/csv-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-03-31-organogram.xls,28,103
NHS Litigation Authority,2011-03-31,data/dgu/csv-from-triplestore/nhs_litigation_authority-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/nhs_litigation_authority-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/nhs_litigation_authority-2011-03-31-organogram.xls,6,33
National Army Museum,2011-03-31,data/dgu/csv-from-triplestore/national_army_museum-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_army_museum-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_army_museum-2011-03-31-organogram.xls,5,33
National College for Leadership of Schools and Children's Services,2011-03-31,data/dgu/csv-from-triplestore/national_college_for_leadership_of_schools_and_childrens_services-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_college_for_leadership_of_schools_and_childrens_services-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_college_for_leadership_of_schools_and_childrens_services-2011-03-31-organogram.xls,22,163
National Heritage Memorial Fund,2011-03-31,data/dgu/csv-from-triplestore/national_heritage_memorial_fund-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_heritage_memorial_fund-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_heritage_memorial_fund-2011-03-31-organogram.xls,4,40
National Institute for Health and Care Excellence,2011-03-31,data/dgu/csv-from-triplestore/national_institute_for_health_and_care_excellence-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_institute_for_health_and_care_excellence-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_institute_for_health_and_care_excellence-2011-03-31-organogram.xls,16,259
National Lottery Commission,2011-03-31,data/dgu/csv-from-triplestore/national_lottery_commission-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_lottery_commission-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_lottery_commission-2011-03-31-organogram.xls,5,25
National Measurement Office,2011-03-31,data/dgu/csv-from-triplestore/national_measurement_office-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_measurement_office-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_measurement_office-2011-03-31-organogram.xls,1,3
National Museum of Science and Industry,2011-03-31,data/dgu/csv-from-triplestore/national_museum_of_science_and_industry-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_museum_of_science_and_industry-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_museum_of_science_and_industry-2011-03-31-organogram.xls,10,252
National Museums Liverpool,2011-03-31,data/dgu/csv-from-triplestore/national_museums_liverpool-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_museums_liverpool-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_museums_liverpool-2011-03-31-organogram.xls,7,148
National Offender Management Service,2011-03-31,data/dgu/csv-from-triplestore/national_offender_management_service-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_offender_management_service-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_offender_management_service-2011-03-31-organogram.xls,85,4214
National Patient Safety Agency,2011-03-31,data/dgu/csv-from-triplestore/national_patient_safety_agency-2011-03-31-junior.csv,data/dgu/csv-from-triplestore/national_patient_safety_agency-2011-03-31-junior.csv,data/dgu/xls-from-triplestore/national_patient_safety_agency-2011-03-31-organogram.xls,5,48
