body_title,graph,senior_csv_filepath,junior_csv_filepath,xls_filepath,senior_posts_count,junior_posts_count
Engineering and Physical Sciences Research Council,2011-09-30,data/dgu/csv-from-triplestore/engineering_and_physical_sciences_research_council-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/engineering_and_physical_sciences_research_council-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/engineering_and_physical_sciences_research_council-2011-09-30-organogram.xls,4,76
English Heritage,2011-09-30,data/dgu/csv-from-triplestore/english_heritage-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/english_heritage-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/english_heritage-2011-09-30-organogram.xls,21,193
Environment Agency,2011-09-30,data/dgu/csv-from-triplestore/environment_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/environment_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/environment_agency-2011-09-30-organogram.xls,153,2197
Equality and Human Rights Commission,2011-09-30,data/dgu/csv-from-triplestore/equality_and_human_rights_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/equality_and_human_rights_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/equality_and_human_rights_commission-2011-09-30-organogram.xls,10,744
Foreign and Commonwealth Office,2011-09-30,data/dgu/csv-from-triplestore/foreign_and_commonwealth_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/foreign_and_commonwealth_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/foreign_and_commonwealth_office-2011-09-30-organogram.xls,131,227
Forestry Commission,2011-09-30,data/dgu/csv-from-triplestore/forestry_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/forestry_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/forestry_commission-2011-09-30-organogram.xls,11,228
Gambling Commission,2011-09-30,data/dgu/csv-from-triplestore/gambling_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/gambling_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/gambling_commission-2011-09-30-organogram.xls,13,46
Government Procurement Service,2011-09-30,data/dgu/csv-from-triplestore/government_procurement_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/government_procurement_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/government_procurement_service-2011-09-30-organogram.xls,4,203
HM Crown Prosecution Service Inspectorate,2011-09-30,data/dgu/csv-from-triplestore/hm_crown_prosecution_service_inspectorate-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/hm_crown_prosecution_service_inspectorate-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/hm_crown_prosecution_service_inspectorate-2011-09-30-organogram.xls,2,17
HM Inspectorate of Constabulary,2011-09-30,data/dgu/csv-from-triplestore/hm_inspectorate_of_constabulary-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/hm_inspectorate_of_constabulary-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/hm_inspectorate_of_constabulary-2011-09-30-organogram.xls,16,77
HM Inspectorate of Prisons,2011-09-30,data/dgu/csv-from-triplestore/hm_inspectorate_of_prisons-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/hm_inspectorate_of_prisons-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/hm_inspectorate_of_prisons-2011-09-30-organogram.xls,1,15
HM Inspectorate of Probation,2011-09-30,data/dgu/csv-from-triplestore/hm_inspectorate_of_probation-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/hm_inspectorate_of_probation-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/hm_inspectorate_of_probation-2011-09-30-organogram.xls,1,7
HM Treasury,2011-09-30,data/dgu/csv-from-triplestore/hm_treasury-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/hm_treasury-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/hm_treasury-2011-09-30-organogram.xls,115,407
Health Protection Agency,2011-09-30,data/dgu/csv-from-triplestore/health_protection_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/health_protection_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/health_protection_agency-2011-09-30-organogram.xls,50,507
Health and Safety Executive,2011-09-30,data/dgu/csv-from-triplestore/health_and_safety_executive-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/health_and_safety_executive-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/health_and_safety_executive-2011-09-30-organogram.xls,48,855
High Speed 2 Limited,2011-09-30,data/dgu/csv-from-triplestore/high_speed_2_limited-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/high_speed_2_limited-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/high_speed_2_limited-2011-09-30-organogram.xls,4,6
Highways Agency,2011-09-30,data/dgu/csv-from-triplestore/highways_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/highways_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/highways_agency-2011-09-30-organogram.xls,27,220
Home Office,2011-09-30,data/dgu/csv-from-triplestore/home_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/home_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/home_office-2011-09-30-organogram.xls,151,734
Horniman Public Museum & Public Park Trust,2011-09-30,data/dgu/csv-from-triplestore/horniman_public_museum_public_park_trust-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/horniman_public_museum_public_park_trust-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/horniman_public_museum_public_park_trust-2011-09-30-organogram.xls,1,29
Horserace Betting Levy Board,2011-09-30,data/dgu/csv-from-triplestore/horserace_betting_levy_board-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/horserace_betting_levy_board-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/horserace_betting_levy_board-2011-09-30-organogram.xls,3,11
Human Fertilisation and Embryology Authority,2011-09-30,data/dgu/csv-from-triplestore/human_fertilisation_and_embryology_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/human_fertilisation_and_embryology_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/human_fertilisation_and_embryology_authority-2011-09-30-organogram.xls,5,14
Human Tissue Authority,2011-09-30,data/dgu/csv-from-triplestore/human_tissue_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/human_tissue_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/human_tissue_authority-2011-09-30-organogram.xls,5,13
Identity & Passport Service,2011-09-30,data/dgu/csv-from-triplestore/identity_passport_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/identity_passport_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/identity_passport_service-2011-09-30-organogram.xls,14,70
Imperial War Museum,2011-09-30,data/dgu/csv-from-triplestore/imperial_war_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/imperial_war_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/imperial_war_museum-2011-09-30-organogram.xls,3,148
Independent Housing Ombudsman,2011-09-30,data/dgu/csv-from-triplestore/independent_housing_ombudsman-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/independent_housing_ombudsman-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/independent_housing_ombudsman-2011-09-30-organogram.xls,3,16
Independent Living Fund,2011-09-30,data/dgu/csv-from-triplestore/independent_living_fund-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/independent_living_fund-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/independent_living_fund-2011-09-30-organogram.xls,3,49
Independent Police Complaints Commission,2011-09-30,data/dgu/csv-from-triplestore/independent_police_complaints_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/independent_police_complaints_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/independent_police_complaints_commission-2011-09-30-organogram.xls,5,110
Independent Safeguarding Authority,2011-09-30,data/dgu/csv-from-triplestore/independent_safeguarding_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/independent_safeguarding_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/independent_safeguarding_authority-2011-09-30-organogram.xls,3,51
Information Commissioner's Office,2011-09-30,data/dgu/csv-from-triplestore/information_commissioners_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/information_commissioners_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/information_commissioners_office-2011-09-30-organogram.xls,6,91
Infrastructure Planning Commission,2011-09-30,data/dgu/csv-from-triplestore/infrastructure_planning_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/infrastructure_planning_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/infrastructure_planning_commission-2011-09-30-organogram.xls,7,34
Intellectual Property Office,2011-09-30,data/dgu/csv-from-triplestore/intellectual_property_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/intellectual_property_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/intellectual_property_office-2011-09-30-organogram.xls,8,127
Joint Nature Conservation Committee,2011-09-30,data/dgu/csv-from-triplestore/joint_nature_conservation_committee-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/joint_nature_conservation_committee-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/joint_nature_conservation_committee-2011-09-30-organogram.xls,1,68
Judicial Appointments Commission,2011-09-30,data/dgu/csv-from-triplestore/judicial_appointments_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/judicial_appointments_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/judicial_appointments_commission-2011-09-30-organogram.xls,4,30
Judicial Office,2011-09-30,data/dgu/csv-from-triplestore/judicial_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/judicial_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/judicial_office-2011-09-30-organogram.xls,5,36
Land Registry,2011-09-30,data/dgu/csv-from-triplestore/land_registry-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/land_registry-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/land_registry-2011-09-30-organogram.xls,24,94
Learning and Skills Improvement Service,2011-09-30,data/dgu/csv-from-triplestore/learning_and_skills_improvement_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/learning_and_skills_improvement_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/learning_and_skills_improvement_service-2011-09-30-organogram.xls,4,76
Leasehold Advisory Service,2011-09-30,data/dgu/csv-from-triplestore/leasehold_advisory_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/leasehold_advisory_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/leasehold_advisory_service-2011-09-30-organogram.xls,1,2
Legal Services Board,2011-09-30,data/dgu/csv-from-triplestore/legal_services_board-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/legal_services_board-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/legal_services_board-2011-09-30-organogram.xls,6,16
Legal Services Commission,2011-09-30,data/dgu/csv-from-triplestore/legal_services_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/legal_services_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/legal_services_commission-2011-09-30-organogram.xls,13,81
London Thames Gateway Development Corporation,2011-09-30,data/dgu/csv-from-triplestore/london_thames_gateway_development_corporation-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/london_thames_gateway_development_corporation-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/london_thames_gateway_development_corporation-2011-09-30-organogram.xls,6,8
Marine Management Organisation,2011-09-30,data/dgu/csv-from-triplestore/marine_management_organisation-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/marine_management_organisation-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/marine_management_organisation-2011-09-30-organogram.xls,5,31
Maritime and Coastguard Agency,2011-09-30,data/dgu/csv-from-triplestore/maritime_and_coastguard_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/maritime_and_coastguard_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/maritime_and_coastguard_agency-2011-09-30-organogram.xls,4,82
Medical Research Council,2011-09-30,data/dgu/csv-from-triplestore/medical_research_council-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/medical_research_council-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/medical_research_council-2011-09-30-organogram.xls,41,307
Met Office,2011-09-30,data/dgu/csv-from-triplestore/met_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/met_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/met_office-2011-09-30-organogram.xls,10,229
Ministry of Defence,2011-09-30,data/dgu/csv-from-triplestore/ministry_of_defence-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/ministry_of_defence-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/ministry_of_defence-2011-09-30-organogram.xls,617,12714
Ministry of Justice,2011-09-30,data/dgu/csv-from-triplestore/ministry_of_justice-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/ministry_of_justice-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/ministry_of_justice-2011-09-30-organogram.xls,132,624
Monitor,2011-09-30,data/dgu/csv-from-triplestore/monitor-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/monitor-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/monitor-2011-09-30-organogram.xls,9,42
Museum of Science and Industry,2011-09-30,data/dgu/csv-from-triplestore/museum_of_science_and_industry-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/museum_of_science_and_industry-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/museum_of_science_and_industry-2011-09-30-organogram.xls,4,34
NHS Blood and Transplant,2011-09-30,data/dgu/csv-from-triplestore/nhs_blood_and_transplant-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/nhs_blood_and_transplant-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/nhs_blood_and_transplant-2011-09-30-organogram.xls,50,91
NHS Business Services Authority,2011-09-30,data/dgu/csv-from-triplestore/nhs_business_services_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/nhs_business_services_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/nhs_business_services_authority-2011-09-30-organogram.xls,5,71
NHS Information Centre for Health and Social Care,2011-09-30,data/dgu/csv-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/nhs_information_centre_for_health_and_social_care-2011-09-30-organogram.xls,35,126
NHS Litigation Authority,2011-09-30,data/dgu/csv-from-triplestore/nhs_litigation_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/nhs_litigation_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/nhs_litigation_authority-2011-09-30-organogram.xls,6,33
National Army Museum,2011-09-30,data/dgu/csv-from-triplestore/national_army_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_army_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_army_museum-2011-09-30-organogram.xls,5,32
National College for School Leadership,2011-09-30,data/dgu/csv-from-triplestore/national_college_for_school_leadership-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_college_for_school_leadership-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_college_for_school_leadership-2011-09-30-organogram.xls,22,152
National Fraud Authority,2011-09-30,data/dgu/csv-from-triplestore/national_fraud_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_fraud_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_fraud_authority-2011-09-30-organogram.xls,4,41
National Institute for Health and Care Excellence,2011-09-30,data/dgu/csv-from-triplestore/national_institute_for_health_and_care_excellence-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_institute_for_health_and_care_excellence-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_institute_for_health_and_care_excellence-2011-09-30-organogram.xls,17,269
National Lottery Commission,2011-09-30,data/dgu/csv-from-triplestore/national_lottery_commission-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_lottery_commission-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_lottery_commission-2011-09-30-organogram.xls,5,24
National Maritime Museum,2011-09-30,data/dgu/csv-from-triplestore/national_maritime_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_maritime_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_maritime_museum-2011-09-30-organogram.xls,6,66
National Measurement Office,2011-09-30,data/dgu/csv-from-triplestore/national_measurement_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_measurement_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_measurement_office-2011-09-30-organogram.xls,1,3
National Museum of Science and Industry,2011-09-30,data/dgu/csv-from-triplestore/national_museum_of_science_and_industry-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_museum_of_science_and_industry-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_museum_of_science_and_industry-2011-09-30-organogram.xls,9,249
National Museums Liverpool,2011-09-30,data/dgu/csv-from-triplestore/national_museums_liverpool-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_museums_liverpool-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_museums_liverpool-2011-09-30-organogram.xls,7,147
National Offender Management Service,2011-09-30,data/dgu/csv-from-triplestore/national_offender_management_service-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_offender_management_service-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_offender_management_service-2011-09-30-organogram.xls,77,4095
National Patient Safety Agency,2011-09-30,data/dgu/csv-from-triplestore/national_patient_safety_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_patient_safety_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_patient_safety_agency-2011-09-30-organogram.xls,5,42
National Policing Improvement Agency,2011-09-30,data/dgu/csv-from-triplestore/national_policing_improvement_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_policing_improvement_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_policing_improvement_agency-2011-09-30-organogram.xls,31,554
National Portrait Gallery,2011-09-30,data/dgu/csv-from-triplestore/national_portrait_gallery-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_portrait_gallery-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_portrait_gallery-2011-09-30-organogram.xls,1,44
National Treatment Agency for Substance Misuse,2011-09-30,data/dgu/csv-from-triplestore/national_treatment_agency_for_substance_misuse-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/national_treatment_agency_for_substance_misuse-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/national_treatment_agency_for_substance_misuse-2011-09-30-organogram.xls,7,25
Natural England,2011-09-30,data/dgu/csv-from-triplestore/natural_england-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/natural_england-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/natural_england-2011-09-30-organogram.xls,23,155
Natural History Museum,2011-09-30,data/dgu/csv-from-triplestore/natural_history_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/natural_history_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/natural_history_museum-2011-09-30-organogram.xls,4,129
Nuclear Decommissioning Authority,2011-09-30,data/dgu/csv-from-triplestore/nuclear_decommissioning_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/nuclear_decommissioning_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/nuclear_decommissioning_authority-2011-09-30-organogram.xls,54,4
Office for Budget Responsibility,2011-09-30,data/dgu/csv-from-triplestore/office_for_budget_responsibility-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/office_for_budget_responsibility-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/office_for_budget_responsibility-2011-09-30-organogram.xls,4,3
"Office for Standards in Education, Children's Services and Skills",2011-09-30,data/dgu/csv-from-triplestore/office_for_standards_in_education_childrens_services_and_skills-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/office_for_standards_in_education_childrens_services_and_skills-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/office_for_standards_in_education_childrens_services_and_skills-2011-09-30-organogram.xls,38,171
Office of Qualifications and Examinations Regulation,2011-09-30,data/dgu/csv-from-triplestore/office_of_qualifications_and_examinations_regulation-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/office_of_qualifications_and_examinations_regulation-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/office_of_qualifications_and_examinations_regulation-2011-09-30-organogram.xls,5,24
Office of the Advocate General of Scotland,2011-09-30,data/dgu/csv-from-triplestore/office_of_the_advocate_general_of_scotland-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/office_of_the_advocate_general_of_scotland-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/office_of_the_advocate_general_of_scotland-2011-09-30-organogram.xls,5,41
Office of the Immigration Services Commissioner,2011-09-30,data/dgu/csv-from-triplestore/office_of_the_immigration_services_commissioner-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/office_of_the_immigration_services_commissioner-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/office_of_the_immigration_services_commissioner-2011-09-30-organogram.xls,2,14
Ofsted,2011-09-30,data/dgu/csv-from-triplestore/ofsted-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/ofsted-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/ofsted-2011-09-30-organogram.xls,38,171
Olympic Delivery Authority,2011-09-30,data/dgu/csv-from-triplestore/olympic_delivery_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/olympic_delivery_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/olympic_delivery_authority-2011-09-30-organogram.xls,29,141
Ordnance Survey,2011-09-30,data/dgu/csv-from-triplestore/ordnance_survey-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/ordnance_survey-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/ordnance_survey-2011-09-30-organogram.xls,6,200
Parole Board,2011-09-30,data/dgu/csv-from-triplestore/parole_board-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/parole_board-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/parole_board-2011-09-30-organogram.xls,2,45
Partnerships for Schools,2011-09-30,data/dgu/csv-from-triplestore/partnerships_for_schools-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/partnerships_for_schools-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/partnerships_for_schools-2011-09-30-organogram.xls,22,68
Pensions Ombudsman,2011-09-30,data/dgu/csv-from-triplestore/pensions_ombudsman-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/pensions_ombudsman-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/pensions_ombudsman-2011-09-30-organogram.xls,2,7
Planning Inspectorate,2011-09-30,data/dgu/csv-from-triplestore/planning_inspectorate-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/planning_inspectorate-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/planning_inspectorate-2011-09-30-organogram.xls,5,82
Prisons and Probation Ombudsman,2011-09-30,data/dgu/csv-from-triplestore/prisons_and_probation_ombudsman-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/prisons_and_probation_ombudsman-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/prisons_and_probation_ombudsman-2011-09-30-organogram.xls,2,6
Public Lending Right,2011-09-30,data/dgu/csv-from-triplestore/public_lending_right-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/public_lending_right-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/public_lending_right-2011-09-30-organogram.xls,1,11
Qualifications and Curriculum Development Agency,2011-09-30,data/dgu/csv-from-triplestore/qualifications_and_curriculum_development_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/qualifications_and_curriculum_development_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/qualifications_and_curriculum_development_agency-2011-09-30-organogram.xls,9,41
Queen Elizabeth II Conference Centre,2011-09-30,data/dgu/csv-from-triplestore/queen_elizabeth_ii_conference_centre-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/queen_elizabeth_ii_conference_centre-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/queen_elizabeth_ii_conference_centre-2011-09-30-organogram.xls,1,28
Royal Air Force Museum,2011-09-30,data/dgu/csv-from-triplestore/royal_air_force_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/royal_air_force_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/royal_air_force_museum-2011-09-30-organogram.xls,3,30
Rural Payments Agency,2011-09-30,data/dgu/csv-from-triplestore/rural_payments_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/rural_payments_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/rural_payments_agency-2011-09-30-organogram.xls,13,177
Science and Technology Facilities Council,2011-09-30,data/dgu/csv-from-triplestore/science_and_technology_facilities_council-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/science_and_technology_facilities_council-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/science_and_technology_facilities_council-2011-09-30-organogram.xls,37,321
Scotland Office,2011-09-30,data/dgu/csv-from-triplestore/scotland_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/scotland_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/scotland_office-2011-09-30-organogram.xls,4,51
Security Industry Authority,2011-09-30,data/dgu/csv-from-triplestore/security_industry_authority-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/security_industry_authority-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/security_industry_authority-2011-09-30-organogram.xls,4,86
Serious Fraud Office,2011-09-30,data/dgu/csv-from-triplestore/serious_fraud_office-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/serious_fraud_office-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/serious_fraud_office-2011-09-30-organogram.xls,9,107
Serious Organised Crime Agency,2011-09-30,data/dgu/csv-from-triplestore/serious_organised_crime_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/serious_organised_crime_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/serious_organised_crime_agency-2011-09-30-organogram.xls,5,32
Sir John Soane's Museum,2011-09-30,data/dgu/csv-from-triplestore/sir_john_soanes_museum-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/sir_john_soanes_museum-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/sir_john_soanes_museum-2011-09-30-organogram.xls,1,15
Skills Funding Agency,2011-09-30,data/dgu/csv-from-triplestore/skills_funding_agency-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/skills_funding_agency-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/skills_funding_agency-2011-09-30-organogram.xls,61,312
Sport England,2011-09-30,data/dgu/csv-from-triplestore/sport_england-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/sport_england-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/sport_england-2011-09-30-organogram.xls,8,87
Standards Board for England,2011-09-30,data/dgu/csv-from-triplestore/standards_board_for_england-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/standards_board_for_england-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/standards_board_for_england-2011-09-30-organogram.xls,3,25
Student Loans Company Limited,2011-09-30,data/dgu/csv-from-triplestore/student_loans_company_limited-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/student_loans_company_limited-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/student_loans_company_limited-2011-09-30-organogram.xls,8,328
Tate,2011-09-30,data/dgu/csv-from-triplestore/tate-2011-09-30-junior.csv,data/dgu/csv-from-triplestore/tate-2011-09-30-junior.csv,data/dgu/xls-from-triplestore/tate-2011-09-30-organogram.xls,6,28
