name,title,graphs,uris
criminal-records-bureau,Criminal Records Bureau,2011-03-31 2011-09-30 2012-03-31 2012-09-30,http://reference.data.gov.uk/id/public-body/criminal-records-bureau http://reference.data.gov.uk/id/public-body/criminal-records-bureau http://reference.data.gov.uk/id/public-body/criminal-records-bureau http://reference.data.gov.uk/id/public-body/criminal-records-bureau
crown-prosecution-service,Crown Prosecution Service,2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/department/cps http://reference.data.gov.uk/id/department/cps http://reference.data.gov.uk/id/department/cps http://reference.data.gov.uk/id/department/cps http://reference.data.gov.uk/id/department/cps http://reference.data.gov.uk/id/department/cps http://reference.data.gov.uk/id/department/cps
defence-support-group,Defence Support Group,2011-03-31 2011-09-30 2012-09-30 2013-03-31 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/public-body/defence-support-group-dsg http://reference.data.gov.uk/id/public-body/defence-support-group-dsg http://reference.data.gov.uk/id/public-body/defence-support-group-dsg http://reference.data.gov.uk/id/public-body/defence-support-group-dsg http://reference.data.gov.uk/id/public-body/defence-support-group-dsg http://reference.data.gov.uk/id/public-body/defence-support-group-dsg http://reference.data.gov.uk/id/public-body/defence-support-group-dsg
department-for-business-innovation-and-skills,"Department for Business, Innovation and Skills",2011-03-31 2011-03-31 2011-09-30 2012-03-31,http://reference.data.gov.uk/id/department/bis http://reference.data.gov.uk/id/department/bis http://reference.data.gov.uk/id/department/bis http://reference.data.gov.uk/id/department/bis
department-for-communities-and-local-government,Department for Communities and Local Government,2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/department/dclg http://reference.data.gov.uk/id/department/dclg http://reference.data.gov.uk/id/department/dclg http://reference.data.gov.uk/id/department/dclg http://reference.data.gov.uk/id/department/dclg http://reference.data.gov.uk/id/department/dclg http://reference.data.gov.uk/id/department/dclg http://reference.data.gov.uk/id/department/dclg
department-for-culture-media-and-sport,"Department for Culture, Media and Sport",2011-03-31 2011-03-31 2011-03-31 2011-09-30 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/department/dcms http://reference.data.gov.uk/id/department/dcms http://reference.data.gov.uk/id/department/department-for-culture-media-and-sport http://reference.data.gov.uk/id/department/dcms http://reference.data.gov.uk/id/department/dcms http://reference.data.gov.uk/id/department/dcms http://reference.data.gov.uk/id/department/dcms
department-for-environment-food-and-rural-affairs,"Department for Environment, Food and Rural Affairs",2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2014-03-31,http://reference.data.gov.uk/id/department/defra http://reference.data.gov.uk/id/department/defra http://reference.data.gov.uk/id/department/defra http://reference.data.gov.uk/id/department/defra http://reference.data.gov.uk/id/department/defra http://reference.data.gov.uk/id/department/defra http://reference.data.gov.uk/id/department/defra
department-for-international-development,Department for International Development,2011-03-31 2011-03-31 2011-03-31 2011-09-30 2013-03-31 2013-09-30 2014-03-31 2014-09-30,http://reference.data.gov.uk/id/department/dfid http://reference.data.gov.uk/id/department/dfid http://reference.data.gov.uk/id/public-body/dfid http://reference.data.gov.uk/id/public-body/dfid http://reference.data.gov.uk/id/public-body/dfid http://reference.data.gov.uk/id/public-body/dfid http://reference.data.gov.uk/id/public-body/dfid http://reference.data.gov.uk/id/public-body/dfid
department-for-transport,Department for Transport,2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2014-03-31 2015-03-31,http://reference.data.gov.uk/id/department/dft http://reference.data.gov.uk/id/department/dft http://reference.data.gov.uk/id/department/dft http://reference.data.gov.uk/id/department/dft http://reference.data.gov.uk/id/department/dft http://reference.data.gov.uk/id/department/dft http://reference.data.gov.uk/id/department/dft
department-for-work-and-pensions,Department for Work and Pensions,2011-03-31 2011-03-31 2011-09-30 2012-03-31 2012-09-30 2013-09-30 2014-03-31 2014-09-30 2015-03-31 2015-09-30,http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp http://reference.data.gov.uk/id/department/dwp
