,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
127,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,E,35282,43164,Scientist,26.4,Science and Engineering
128,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,D,27792,34002,Post Doctoral Scientist,42.6,Science and Engineering
129,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,C,22504,26958,Science Support,3.3,Science and Engineering
130,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,C,22504,26958,Administrator,4.4,Operational Delivery
131,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,B,17493,20956,Science Support,0.1,Science and Engineering
132,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Institute of Food Research,IFR1,A,14650,16847,Science Support,3.0,Science and Engineering
133,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,PC2,66000,85280,Head of Branch/Unit,1.0,Finance
134,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,G,54565,69721,Head of Branch/Unit,1.0,Operational Delivery
135,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,G,54565,69721,Head of Branch/Unit,1.0,Property and asset management
136,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,G,54565,69721,Head of Branch/Unit,1.0,Information Technology
137,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,F,42769,54649,Head of Branch/Unit,0.1,Communications
138,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,F,42769,54649,Head of Branch/Unit,1.0,Operational Delivery
139,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,F,42769,54649,Estates Manager,1.0,Operational Delivery
140,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,F,42769,54649,Senior Finance  Manager,1.0,Finance
141,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,E,35282,43164,Senior HR Manager,1.6,Human Resources
142,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,E,35282,43164,Contract Manager,6.8,Operational Delivery
143,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,E,35282,43164,Communications Manager,1.0,Communications
144,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,E,35282,43164,Senior IT Manager,2.0,Information Technology
145,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,E,35282,43164,Senior Finance  Manager,0.1,Finance
146,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,Communications Support Officer,0.1,Communications
147,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,IT Manager,5.4,Information Technology
148,Department for Business Innovation and Skills,Biotechnology and Biological Sciences Research Council,Norwich Biological Instititutes Partnership,JIC1,D,27792,34002,Health and Safety and QA Officer,1.6,Operational Delivery
