,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
69,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Management Accountant,1.0,Finance
70,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Project Support Manager - Support Office,1.0,Operational Delivery
71,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Stakeholder Communications Manager,1.0,Communications
72,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,HEO (London),29365,34009,Stakeholder Communications Officer,1.0,Communications
73,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,IO (London),0,0,E-Comms Manager,1.0,Communications
74,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,IO (London),0,0,Media Manager,1.0,Communications
75,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Data Analysis Manager,1.0,Operational Delivery
76,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Head of Financial Accounting,1.0,Finance
77,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Head of Financial Planning,1.0,Finance
78,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Head of Human Resources,1.0,Human Resources
79,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Planning and Flexible Resource Management Manager,1.0,Programme and Project Management (PPM)
80,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Programme and Project Manager - Flexible Resource Team,2.0,Programme and Project Management (PPM)
81,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Senior Data Analyst,1.0,Operational Delivery
82,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,Senior Human Resources Adviser,1.0,Human Resources
83,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SEO (London),36973,42557,YJMIS Manager,2.0,Operational Delivery
84,Ministry of Justice,Youth Justice Board,Corporate Services Division,13,SIO (London),0,0,Head of Media,4.5,Communications
85,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,AO (London),19538,21677,Business Development Assistant,3.0,Operational Delivery
86,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,AO (London),19538,21677,NOMS Partnerships Assistant,2.0,Operational Delivery
87,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,AO (London),19538,21677,Placement Support Officer,2.0,Operational Delivery
88,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (National),20235,23802,Assistant Service Assurance Monitor,4.0,Operational Delivery
89,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (London),24093,27809,Contract and Supplier Officer,1.0,Operational Delivery
90,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (London),24093,27809,Development Officer,1.0,Operational Delivery
91,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (London),24093,27809,Implementation and Project Delivery Officer,1.0,Operational Delivery
92,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (London),24093,27809,Implementation and Project Delivery Officer (Behaviour Management and Restraint),1.0,Operational Delivery
93,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (London),24093,27809,Placement Manager,1.0,Operational Delivery
94,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (London),24093,27809,Placement Planning Officer,1.0,Operational Delivery
95,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (National),20235,23802,Service Assurance Support Officer,1.0,Operational Delivery
96,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,EO (London),24093,27809,Systems and Information Officer,1.0,Operational Delivery
97,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G6 (London),59991,73524,Head of Commissioning,1.0,Operational Delivery
98,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Business Development,1.0,Operational Delivery
99,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Commissioning Projects,1.0,Operational Delivery
100,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Contract and Supplier Management,2.0,Operational Delivery
101,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Implementation and Project Delivery,1.0,Operational Delivery
102,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Implementation and Project Delivery (Behaviour Management and Restraint),4.0,Operational Delivery
103,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (National),44656,55264,Head of National Offender Management Services Partnerships,1.0,Operational Delivery
104,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Operations,1.0,Operational Delivery
105,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Planning and Systems Management,1.0,Operational Delivery
106,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,G7 (London),49526,60573,Head of Service Assurance,1.0,Operational Delivery
107,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,HEO (London),29365,34009,Assistant NOMS Partnerships Manager,1.0,Operational Delivery
108,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,HEO (London),29365,34009,Assistant Project Manager,1.0,Operational Delivery
109,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,HEO (London),29365,34009,Placement Manager,2.0,Operational Delivery
110,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,HEO (London),29365,34009,Placement Team Manager (Post Placement),1.0,Operational Delivery
111,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,HEO (London),29365,34009,Quality Officer,0.67,Operational Delivery
112,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,HEO (London),29365,34009,Senior Functions Officer,2.0,Operational Delivery
113,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Commissioning Development Manager,1.0,Operational Delivery
114,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Contract and Supplier Manager,1.0,Operational Delivery
115,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (National),32602,37964,Flexible Resource,1.0,Operational Delivery
116,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Head of Implementation and Project Delivery,1.0,Operational Delivery
117,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (National),32602,37964,Head of Service Assurance,1.0,Operational Delivery
118,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,NOMS Partnerships Manager,1.0,Operational Delivery
119,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Placement Team Manager (Operations),3.0,Operational Delivery
120,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Planning and Systems Team Manager,0.8,Operational Delivery
121,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Project Manager,1.0,Operational Delivery
122,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (London),36973,42557,Project Manager (Behaviour Management and Restraint),1.0,Operational Delivery
123,Ministry of Justice,Youth Justice Board,Secure Accommodation Division,14,SEO (National),32602,37964,Regime Development Programme Manager,1.0,Operational Delivery
