,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
50,Home Office,Her Majesty's Passport Office,Director of Corporate Services,1IPS02,SEO,32602,39537,Senior IT Services manager,23.33,Information Technology
51,Home Office,Her Majesty's Passport Office,Director of Corporate Services,1IPS02,HEO,25297,30989,IT Services manager,29.41,Information Technology
52,Home Office,Her Majesty's Passport Office,Director of Corporate Services,1IPS02,EO,20235,24789,IT Support Officer,39.28,Information Technology
53,Home Office,Her Majesty's Passport Office,Director of Corporate Services,1IPS02,PO3 (AO),16776,17614,IT Junior Support Officer,18.27,Information Technology
54,Home Office,Her Majesty's Passport Office,Commercial,1FC27,Grade 6,54705,70504,Senior Procurement Manager,1.0,Procurement
55,Home Office,Her Majesty's Passport Office,Commercial,1FC27,Grade 7,44656,57553,Procurement manager,5.0,Procurement
56,Home Office,Her Majesty's Passport Office,Commercial,1FC27,SEO,32602,39537,Senior Procurement Officer,9.0,Procurement
57,Home Office,Her Majesty's Passport Office,Commercial,1FC27,HEO,25297,30989,Procurement Officer,10.0,Procurement
58,Home Office,Her Majesty's Passport Office,Commercial,1FC27,EO,20235,24789,Procurement Support Officer,9.0,Procurement
59,Home Office,Her Majesty's Passport Office,Commercial,1FC27,PO3 (AO),16776,17614,Junior Procurement Officer,2.0,Procurement
60,Home Office,Her Majesty's Passport Office,Operations,1FC27,Grade 7,44656,57553,Operational Manager,1.0,Operational Delivery
61,Home Office,Her Majesty's Passport Office,Operations,1FC27,SEO,32602,39537,Senior Operational Officer,6.0,Operational Delivery
62,Home Office,Her Majesty's Passport Office,Operations,1FC27,HEO,25297,30989,Operational Officer,19.17,Operational Delivery
63,Home Office,Her Majesty's Passport Office,Operations,1FC27,EO,20235,24789,Operational Support Officer,108.64,Operational Delivery
64,Home Office,Her Majesty's Passport Office,Operations,1FC27,PO3 (AO),16776,17614,Junior Operational Officer,329.98,Operational Delivery
65,Home Office,Her Majesty's Passport Office,Operations,1FC27,AA,14043,15701,Junior Operational Support Officer,119.28,Operational Delivery
