,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
72,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 3,39592,59510,Researcher,24.0,Science and Engineering
73,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 3,39592,59510,Senior Operational Manager,10.6,Science and Engineering
74,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 3,39592,59510,Curator,1.0,Science and Engineering
75,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Band 3,39592,59510,Senior Technical Adviser,5.18,Science and Engineering
76,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Collections Manager,11.5,Science and Engineering
77,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Curator,23.0,Science and Engineering
78,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Operational Manager,3.0,Science and Engineering
79,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Researcher,26.0,Science and Engineering
80,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Curator,38.77,Science and Engineering
81,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Research Assistant,28.22,Science and Engineering
82,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Researcher,5.0,Science and Engineering
83,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Technical Support Officer,0.2,Science and Engineering
84,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 1,23480,28875,Research Assistant,8.6,Science and Engineering
85,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 1,23480,28875,Operations Support Officer,4.4,Science and Engineering
86,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 1,23480,28875,Curator,3.0,Science and Engineering
87,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Senior Operational Manager,4.0,Science and Engineering
88,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Senior Information Manager,2.0,Science and Engineering
89,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Senior Technical Adviser,11.98,Science and Engineering
90,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 3,33663,44397,Research Assistant,1.0,Science and Engineering
91,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Technical Adviser,4.3,Science and Engineering
92,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Statistical Support Officer,1.0,Science and Engineering
93,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Technical Adviser,7.0,Science and Engineering
94,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Project Support Officer,1.1,Science and Engineering
95,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Operations Support Officer,2.7,Science and Engineering
96,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Operational Manager,1.0,Science and Engineering
97,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Operations Support Officer,9.42,Science and Engineering
98,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Technical Support Officer,10.9,Science and Engineering
99,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 2,27888,34321,Research Assistant,0.6,Science and Engineering
100,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 1,23480,28875,Collections Assistant,1.0,Science and Engineering
101,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 1,23480,28875,Curator,2.0,Science and Engineering
102,"Department for Culture, Media and Sport",The Natural History Museum,Science,1346,Science Level 1,23480,28875,Technical Support Officer,18.5,Science and Engineering
