,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
56,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Level 5,44180,53493,Senior Professional,1.8,Operational Delivery
57,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Public Services",8,Director,60000,90000,Director,1.0,Operational Delivery
58,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 1,16000,19133,Administrator,0.5,Operational Delivery
59,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 2,21056,24778,Service Support Coordinator,1.8,Operational Delivery
60,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 3,27315,32995,Caseworker,1.0,Operational Delivery
61,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 3,27315,32995,Policy Officer,0.83,Operational Delivery
62,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 4,34724,42000,Business Planning Officer,1.0,Planning
63,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 4,34724,42000,Communications Manager,1.0,Communications
64,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 4,34724,42000,Grants Manager,1.0,Operational Delivery
65,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 4,34724,42000,Operational Researcher,1.0,Operational Research
66,"Department for Culture, Media and Sport",Commission for Equality and Human Rights (known as the Equality and Human Rights Commission),"Chief Operating Officer, Scotland",8,Level 4,34724,42000,Policy Manager,1.0,Operational Delivery
